,sigma_i,tau_i,stability,turing,turing_hopf,p_random
0,0.1,0.1,1,0,0,4
0,0.1,0.1725,1,0,0,1
0,0.1,0.245,1,0,0,1
0,0.1,0.3175,1,0,0,1
0,0.1,0.39,1,0,0,1
0,0.1,0.4625,1,0,0,1
0,0.1,0.5349999999999999,1,0,0,1
0,0.1,0.6074999999999999,1,0,0,1
0,0.1,0.6799999999999999,1,0,0,1
0,0.1,0.7525,1,0,0,1
0,0.1,0.825,1,0,0,1
0,0.1,0.8975,1,0,0,1
0,0.1,0.9699999999999999,1,0,0,1
0,0.1,1.0425,1,0,0,1
0,0.1,1.115,1,0,0,1
0,0.1,1.1875,1,0,0,1
0,0.1,1.26,1,0,0,1
0,0.1,1.3325,0,0,0,1
0,0.1,1.405,0,0,0,1
0,0.1,1.4775,0,0,0,1
0,0.1,1.55,0,0,0,1
0,0.1,1.6225,0,0,0,1
0,0.1,1.695,0,0,0,1
0,0.1,1.7675,0,0,0,1
0,0.1,1.8399999999999999,0,0,0,2
0,0.1,1.9124999999999999,0,0,0,2
0,0.1,1.9849999999999999,0,0,0,2
0,0.1,2.0574999999999997,0,0,0,2
0,0.1,2.13,0,0,0,2
0,0.1,2.2025,0,0,0,2
0,0.1,2.275,0,0,0,2
0,0.1,2.3475,0,0,0,2
0,0.1,2.42,0,0,0,2
0,0.1,2.4924999999999997,0,0,0,4
0,0.1,2.565,0,0,0,4
0,0.1,2.6374999999999997,0,0,0,4
0,0.1,2.71,0,0,0,4
0,0.1,2.7824999999999998,0,0,0,4
0,0.1,2.855,0,0,0,4
0,0.1,2.9274999999999998,0,0,0,4
0,0.1,3.0,0,0,0,4
0,0.1725,0.1,1,0,0,4
0,0.1725,0.1725,1,0,0,1
0,0.1725,0.245,1,0,0,1
0,0.1725,0.3175,1,0,0,1
0,0.1725,0.39,1,0,0,1
0,0.1725,0.4625,1,0,0,1
0,0.1725,0.5349999999999999,1,0,0,1
0,0.1725,0.6074999999999999,1,0,0,1
0,0.1725,0.6799999999999999,1,0,0,1
0,0.1725,0.7525,1,0,0,1
0,0.1725,0.825,1,0,0,1
0,0.1725,0.8975,1,0,0,1
0,0.1725,0.9699999999999999,1,0,0,1
0,0.1725,1.0425,1,0,0,1
0,0.1725,1.115,1,0,0,2
0,0.1725,1.1875,1,0,0,2
0,0.1725,1.26,1,0,0,2
0,0.1725,1.3325,0,0,0,4
0,0.1725,1.405,0,0,0,4
0,0.1725,1.4775,0,0,0,2
0,0.1725,1.55,0,0,0,2
0,0.1725,1.6225,0,0,0,2
0,0.1725,1.695,0,0,0,2
0,0.1725,1.7675,0,0,0,2
0,0.1725,1.8399999999999999,0,0,0,2
0,0.1725,1.9124999999999999,0,0,0,2
0,0.1725,1.9849999999999999,0,0,0,2
0,0.1725,2.0574999999999997,0,0,0,2
0,0.1725,2.13,0,0,0,2
0,0.1725,2.2025,0,0,0,2
0,0.1725,2.275,0,0,0,2
0,0.1725,2.3475,0,0,0,2
0,0.1725,2.42,0,0,0,2
0,0.1725,2.4924999999999997,0,0,0,2
0,0.1725,2.565,0,0,0,2
0,0.1725,2.6374999999999997,0,0,0,2
0,0.1725,2.71,0,0,0,2
0,0.1725,2.7824999999999998,0,0,0,2
0,0.1725,2.855,0,0,0,2
0,0.1725,2.9274999999999998,0,0,0,2
0,0.1725,3.0,0,0,0,2
0,0.245,0.1,1,0,0,1
0,0.245,0.1725,1,0,0,1
0,0.245,0.245,1,0,0,1
0,0.245,0.3175,1,0,0,1
0,0.245,0.39,1,0,0,1
0,0.245,0.4625,1,0,0,1
0,0.245,0.5349999999999999,1,0,0,1
0,0.245,0.6074999999999999,1,0,0,1
0,0.245,0.6799999999999999,1,0,0,1
0,0.245,0.7525,1,0,0,1
0,0.245,0.825,1,0,0,1
0,0.245,0.8975,1,0,0,1
0,0.245,0.9699999999999999,1,0,0,1
0,0.245,1.0425,1,0,0,2
0,0.245,1.115,1,0,0,2
0,0.245,1.1875,1,0,0,2
0,0.245,1.26,1,0,0,4
0,0.245,1.3325,0,0,0,4
0,0.245,1.405,0,0,0,2
0,0.245,1.4775,0,0,0,2
0,0.245,1.55,0,0,0,2
0,0.245,1.6225,0,0,0,2
0,0.245,1.695,0,0,0,2
0,0.245,1.7675,0,0,0,2
0,0.245,1.8399999999999999,0,0,0,2
0,0.245,1.9124999999999999,0,0,0,2
0,0.245,1.9849999999999999,0,0,0,2
0,0.245,2.0574999999999997,0,0,0,2
0,0.245,2.13,0,0,0,2
0,0.245,2.2025,0,0,0,2
0,0.245,2.275,0,0,0,2
0,0.245,2.3475,0,0,0,2
0,0.245,2.42,0,0,0,2
0,0.245,2.4924999999999997,0,0,0,2
0,0.245,2.565,0,0,0,2
0,0.245,2.6374999999999997,0,0,0,2
0,0.245,2.71,0,0,0,2
0,0.245,2.7824999999999998,0,0,0,2
0,0.245,2.855,0,0,0,2
0,0.245,2.9274999999999998,0,0,0,2
0,0.245,3.0,0,0,0,2
0,0.3175,0.1,1,0,0,1
0,0.3175,0.1725,1,0,0,1
0,0.3175,0.245,1,0,0,1
0,0.3175,0.3175,1,0,0,1
0,0.3175,0.39,1,0,0,1
0,0.3175,0.4625,1,0,0,1
0,0.3175,0.5349999999999999,1,0,0,1
0,0.3175,0.6074999999999999,1,0,0,1
0,0.3175,0.6799999999999999,1,0,0,1
0,0.3175,0.7525,1,0,0,1
0,0.3175,0.825,1,0,0,1
0,0.3175,0.8975,1,0,0,1
0,0.3175,0.9699999999999999,1,0,0,1
0,0.3175,1.0425,1,0,0,2
0,0.3175,1.115,1,0,0,2
0,0.3175,1.1875,1,0,0,2
0,0.3175,1.26,1,0,0,4
0,0.3175,1.3325,0,0,0,2
0,0.3175,1.405,0,0,0,2
0,0.3175,1.4775,0,0,0,2
0,0.3175,1.55,0,0,0,2
0,0.3175,1.6225,0,0,0,2
0,0.3175,1.695,0,0,0,2
0,0.3175,1.7675,0,0,0,2
0,0.3175,1.8399999999999999,0,0,0,2
0,0.3175,1.9124999999999999,0,0,0,2
0,0.3175,1.9849999999999999,0,0,0,2
0,0.3175,2.0574999999999997,0,0,0,2
0,0.3175,2.13,0,0,0,2
0,0.3175,2.2025,0,0,0,2
0,0.3175,2.275,0,0,0,2
0,0.3175,2.3475,0,0,0,2
0,0.3175,2.42,0,0,0,2
0,0.3175,2.4924999999999997,0,0,0,2
0,0.3175,2.565,0,0,0,2
0,0.3175,2.6374999999999997,0,0,0,2
0,0.3175,2.71,0,0,0,2
0,0.3175,2.7824999999999998,0,0,0,2
0,0.3175,2.855,0,0,0,2
0,0.3175,2.9274999999999998,0,0,0,2
0,0.3175,3.0,0,0,0,2
0,0.39,0.1,1,0,0,1
0,0.39,0.1725,1,0,0,1
0,0.39,0.245,1,0,0,1
0,0.39,0.3175,1,0,0,1
0,0.39,0.39,1,0,0,1
0,0.39,0.4625,1,0,0,1
0,0.39,0.5349999999999999,1,0,0,1
0,0.39,0.6074999999999999,1,0,0,1
0,0.39,0.6799999999999999,1,0,0,1
0,0.39,0.7525,1,0,0,1
0,0.39,0.825,1,0,0,1
0,0.39,0.8975,1,0,0,1
0,0.39,0.9699999999999999,1,0,0,1
0,0.39,1.0425,1,0,0,2
0,0.39,1.115,1,0,0,2
0,0.39,1.1875,1,0,0,2
0,0.39,1.26,1,0,0,2
0,0.39,1.3325,0,0,0,2
0,0.39,1.405,0,0,0,2
0,0.39,1.4775,0,0,0,2
0,0.39,1.55,0,0,0,2
0,0.39,1.6225,0,0,0,2
0,0.39,1.695,0,0,0,2
0,0.39,1.7675,0,0,0,2
0,0.39,1.8399999999999999,0,0,0,2
0,0.39,1.9124999999999999,0,0,0,2
0,0.39,1.9849999999999999,0,0,0,2
0,0.39,2.0574999999999997,0,0,0,2
0,0.39,2.13,0,0,0,2
0,0.39,2.2025,0,0,0,2
0,0.39,2.275,0,0,0,2
0,0.39,2.3475,0,0,0,2
0,0.39,2.42,0,0,0,2
0,0.39,2.4924999999999997,0,0,0,2
0,0.39,2.565,0,0,0,2
0,0.39,2.6374999999999997,0,0,0,2
0,0.39,2.71,0,0,0,2
0,0.39,2.7824999999999998,0,0,0,2
0,0.39,2.855,0,0,0,2
0,0.39,2.9274999999999998,0,0,0,2
0,0.39,3.0,0,0,0,2
0,0.4625,0.1,1,0,0,1
0,0.4625,0.1725,1,0,0,1
0,0.4625,0.245,1,0,0,1
0,0.4625,0.3175,1,0,0,1
0,0.4625,0.39,1,0,0,1
0,0.4625,0.4625,1,0,0,1
0,0.4625,0.5349999999999999,1,0,0,1
0,0.4625,0.6074999999999999,1,0,0,1
0,0.4625,0.6799999999999999,1,0,0,1
0,0.4625,0.7525,1,0,0,1
0,0.4625,0.825,1,0,0,1
0,0.4625,0.8975,1,0,0,1
0,0.4625,0.9699999999999999,1,0,0,1
0,0.4625,1.0425,1,0,0,2
0,0.4625,1.115,1,0,0,2
0,0.4625,1.1875,1,0,0,2
0,0.4625,1.26,1,0,0,2
0,0.4625,1.3325,0,0,0,2
0,0.4625,1.405,0,0,0,2
0,0.4625,1.4775,0,0,0,2
0,0.4625,1.55,0,0,0,2
0,0.4625,1.6225,0,0,0,2
0,0.4625,1.695,0,0,0,2
0,0.4625,1.7675,0,0,0,2
0,0.4625,1.8399999999999999,0,0,0,2
0,0.4625,1.9124999999999999,0,0,0,2
0,0.4625,1.9849999999999999,0,0,0,2
0,0.4625,2.0574999999999997,0,0,0,2
0,0.4625,2.13,0,0,0,2
0,0.4625,2.2025,0,0,0,2
0,0.4625,2.275,0,0,0,2
0,0.4625,2.3475,0,0,0,2
0,0.4625,2.42,0,0,0,2
0,0.4625,2.4924999999999997,0,0,0,2
0,0.4625,2.565,0,0,0,2
0,0.4625,2.6374999999999997,0,0,0,2
0,0.4625,2.71,0,0,0,2
0,0.4625,2.7824999999999998,0,0,0,2
0,0.4625,2.855,0,0,0,2
0,0.4625,2.9274999999999998,0,0,0,2
0,0.4625,3.0,0,0,0,2
0,0.5349999999999999,0.1,1,0,0,1
0,0.5349999999999999,0.1725,1,0,0,1
0,0.5349999999999999,0.245,1,0,0,1
0,0.5349999999999999,0.3175,1,0,0,1
0,0.5349999999999999,0.39,1,0,0,1
0,0.5349999999999999,0.4625,1,0,0,1
0,0.5349999999999999,0.5349999999999999,1,0,0,1
0,0.5349999999999999,0.6074999999999999,1,0,0,1
0,0.5349999999999999,0.6799999999999999,1,0,0,1
0,0.5349999999999999,0.7525,1,0,0,1
0,0.5349999999999999,0.825,1,0,0,1
0,0.5349999999999999,0.8975,1,0,0,1
0,0.5349999999999999,0.9699999999999999,1,0,0,1
0,0.5349999999999999,1.0425,1,0,0,2
0,0.5349999999999999,1.115,1,0,0,2
0,0.5349999999999999,1.1875,1,0,0,2
0,0.5349999999999999,1.26,1,0,0,2
0,0.5349999999999999,1.3325,0,0,0,2
0,0.5349999999999999,1.405,0,0,0,2
0,0.5349999999999999,1.4775,0,0,0,2
0,0.5349999999999999,1.55,0,0,0,2
0,0.5349999999999999,1.6225,0,0,0,2
0,0.5349999999999999,1.695,0,0,0,2
0,0.5349999999999999,1.7675,0,0,0,2
0,0.5349999999999999,1.8399999999999999,0,0,0,2
0,0.5349999999999999,1.9124999999999999,0,0,0,2
0,0.5349999999999999,1.9849999999999999,0,0,0,2
0,0.5349999999999999,2.0574999999999997,0,0,0,2
0,0.5349999999999999,2.13,0,0,0,2
0,0.5349999999999999,2.2025,0,0,0,2
0,0.5349999999999999,2.275,0,0,0,2
0,0.5349999999999999,2.3475,0,0,0,2
0,0.5349999999999999,2.42,0,0,0,2
0,0.5349999999999999,2.4924999999999997,0,0,0,2
0,0.5349999999999999,2.565,0,0,0,2
0,0.5349999999999999,2.6374999999999997,0,0,0,2
0,0.5349999999999999,2.71,0,0,0,2
0,0.5349999999999999,2.7824999999999998,0,0,0,2
0,0.5349999999999999,2.855,0,0,0,2
0,0.5349999999999999,2.9274999999999998,0,0,0,2
0,0.5349999999999999,3.0,0,0,0,2
0,0.6074999999999999,0.1,1,0,0,1
0,0.6074999999999999,0.1725,1,0,0,1
0,0.6074999999999999,0.245,1,0,0,1
0,0.6074999999999999,0.3175,1,0,0,1
0,0.6074999999999999,0.39,1,0,0,1
0,0.6074999999999999,0.4625,1,0,0,1
0,0.6074999999999999,0.5349999999999999,1,0,0,1
0,0.6074999999999999,0.6074999999999999,1,0,0,1
0,0.6074999999999999,0.6799999999999999,1,0,0,1
0,0.6074999999999999,0.7525,1,0,0,1
0,0.6074999999999999,0.825,1,0,0,1
0,0.6074999999999999,0.8975,1,0,0,1
0,0.6074999999999999,0.9699999999999999,1,0,0,1
0,0.6074999999999999,1.0425,1,0,0,2
0,0.6074999999999999,1.115,1,0,0,2
0,0.6074999999999999,1.1875,1,0,0,2
0,0.6074999999999999,1.26,1,0,0,2
0,0.6074999999999999,1.3325,0,0,0,2
0,0.6074999999999999,1.405,0,0,0,2
0,0.6074999999999999,1.4775,0,0,0,2
0,0.6074999999999999,1.55,0,0,0,2
0,0.6074999999999999,1.6225,0,0,0,2
0,0.6074999999999999,1.695,0,0,0,2
0,0.6074999999999999,1.7675,0,0,0,2
0,0.6074999999999999,1.8399999999999999,0,0,0,2
0,0.6074999999999999,1.9124999999999999,0,0,0,2
0,0.6074999999999999,1.9849999999999999,0,0,0,2
0,0.6074999999999999,2.0574999999999997,0,0,0,2
0,0.6074999999999999,2.13,0,0,0,2
0,0.6074999999999999,2.2025,0,0,0,2
0,0.6074999999999999,2.275,0,0,0,2
0,0.6074999999999999,2.3475,0,0,0,2
0,0.6074999999999999,2.42,0,0,0,2
0,0.6074999999999999,2.4924999999999997,0,0,0,2
0,0.6074999999999999,2.565,0,0,0,2
0,0.6074999999999999,2.6374999999999997,0,0,0,2
0,0.6074999999999999,2.71,0,0,0,2
0,0.6074999999999999,2.7824999999999998,0,0,0,2
0,0.6074999999999999,2.855,0,0,0,2
0,0.6074999999999999,2.9274999999999998,0,0,0,2
0,0.6074999999999999,3.0,0,0,0,2
0,0.6799999999999999,0.1,1,0,0,1
0,0.6799999999999999,0.1725,1,0,0,1
0,0.6799999999999999,0.245,1,0,0,1
0,0.6799999999999999,0.3175,1,0,0,1
0,0.6799999999999999,0.39,1,0,0,1
0,0.6799999999999999,0.4625,1,0,0,1
0,0.6799999999999999,0.5349999999999999,1,0,0,1
0,0.6799999999999999,0.6074999999999999,1,0,0,1
0,0.6799999999999999,0.6799999999999999,1,0,0,1
0,0.6799999999999999,0.7525,1,0,0,1
0,0.6799999999999999,0.825,1,0,0,1
0,0.6799999999999999,0.8975,1,0,0,1
0,0.6799999999999999,0.9699999999999999,1,0,0,1
0,0.6799999999999999,1.0425,1,0,0,2
0,0.6799999999999999,1.115,1,0,0,2
0,0.6799999999999999,1.1875,1,0,0,2
0,0.6799999999999999,1.26,1,0,0,2
0,0.6799999999999999,1.3325,0,0,0,2
0,0.6799999999999999,1.405,0,0,0,2
0,0.6799999999999999,1.4775,0,0,0,2
0,0.6799999999999999,1.55,0,0,0,2
0,0.6799999999999999,1.6225,0,0,0,2
0,0.6799999999999999,1.695,0,0,0,2
0,0.6799999999999999,1.7675,0,0,0,2
0,0.6799999999999999,1.8399999999999999,0,0,0,2
0,0.6799999999999999,1.9124999999999999,0,0,0,2
0,0.6799999999999999,1.9849999999999999,0,0,0,2
0,0.6799999999999999,2.0574999999999997,0,0,0,2
0,0.6799999999999999,2.13,0,0,0,2
0,0.6799999999999999,2.2025,0,0,0,2
0,0.6799999999999999,2.275,0,0,0,2
0,0.6799999999999999,2.3475,0,0,0,2
0,0.6799999999999999,2.42,0,0,0,2
0,0.6799999999999999,2.4924999999999997,0,0,0,2
0,0.6799999999999999,2.565,0,0,0,2
0,0.6799999999999999,2.6374999999999997,0,0,0,2
0,0.6799999999999999,2.71,0,0,0,2
0,0.6799999999999999,2.7824999999999998,0,0,0,2
0,0.6799999999999999,2.855,0,0,0,2
0,0.6799999999999999,2.9274999999999998,0,0,0,2
0,0.6799999999999999,3.0,0,0,0,2
0,0.7525,0.1,1,0,0,1
0,0.7525,0.1725,1,0,0,1
0,0.7525,0.245,1,0,0,1
0,0.7525,0.3175,1,0,0,1
0,0.7525,0.39,1,0,0,1
0,0.7525,0.4625,1,0,0,1
0,0.7525,0.5349999999999999,1,0,0,1
0,0.7525,0.6074999999999999,1,0,0,1
0,0.7525,0.6799999999999999,1,0,0,1
0,0.7525,0.7525,1,0,0,1
0,0.7525,0.825,1,0,0,1
0,0.7525,0.8975,1,0,0,1
0,0.7525,0.9699999999999999,1,0,0,1
0,0.7525,1.0425,1,0,0,2
0,0.7525,1.115,1,0,0,2
0,0.7525,1.1875,1,0,0,2
0,0.7525,1.26,1,0,0,4
0,0.7525,1.3325,0,0,0,2
0,0.7525,1.405,0,0,0,2
0,0.7525,1.4775,0,0,0,2
0,0.7525,1.55,0,0,0,2
0,0.7525,1.6225,0,0,0,2
0,0.7525,1.695,0,0,0,2
0,0.7525,1.7675,0,0,0,2
0,0.7525,1.8399999999999999,0,0,0,2
0,0.7525,1.9124999999999999,0,0,0,2
0,0.7525,1.9849999999999999,0,0,0,2
0,0.7525,2.0574999999999997,0,0,0,2
0,0.7525,2.13,0,0,0,2
0,0.7525,2.2025,0,0,0,2
0,0.7525,2.275,0,0,0,2
0,0.7525,2.3475,0,0,0,2
0,0.7525,2.42,0,0,0,2
0,0.7525,2.4924999999999997,0,0,0,2
0,0.7525,2.565,0,0,0,2
0,0.7525,2.6374999999999997,0,0,0,2
0,0.7525,2.71,0,0,0,2
0,0.7525,2.7824999999999998,0,0,0,2
0,0.7525,2.855,0,0,0,2
0,0.7525,2.9274999999999998,0,0,0,2
0,0.7525,3.0,0,0,0,2
0,0.825,0.1,1,0,0,1
0,0.825,0.1725,1,0,0,1
0,0.825,0.245,1,0,0,1
0,0.825,0.3175,1,0,0,1
0,0.825,0.39,1,0,0,1
0,0.825,0.4625,1,0,0,1
0,0.825,0.5349999999999999,1,0,0,1
0,0.825,0.6074999999999999,1,0,0,1
0,0.825,0.6799999999999999,1,0,0,1
0,0.825,0.7525,1,0,0,1
0,0.825,0.825,1,0,0,1
0,0.825,0.8975,1,0,0,1
0,0.825,0.9699999999999999,1,0,0,1
0,0.825,1.0425,1,0,0,2
0,0.825,1.115,1,0,0,2
0,0.825,1.1875,1,0,0,2
0,0.825,1.26,1,0,0,4
0,0.825,1.3325,0,0,0,2
0,0.825,1.405,0,0,0,2
0,0.825,1.4775,0,0,0,2
0,0.825,1.55,0,0,0,2
0,0.825,1.6225,0,0,0,2
0,0.825,1.695,0,0,0,2
0,0.825,1.7675,0,0,0,2
0,0.825,1.8399999999999999,0,0,0,2
0,0.825,1.9124999999999999,0,0,0,2
0,0.825,1.9849999999999999,0,0,0,2
0,0.825,2.0574999999999997,0,0,0,2
0,0.825,2.13,0,0,0,2
0,0.825,2.2025,0,0,0,2
0,0.825,2.275,0,0,0,2
0,0.825,2.3475,0,0,0,2
0,0.825,2.42,0,0,0,2
0,0.825,2.4924999999999997,0,0,0,2
0,0.825,2.565,0,0,0,2
0,0.825,2.6374999999999997,0,0,0,2
0,0.825,2.71,0,0,0,2
0,0.825,2.7824999999999998,0,0,0,2
0,0.825,2.855,0,0,0,2
0,0.825,2.9274999999999998,0,0,0,2
0,0.825,3.0,0,0,0,2
0,0.8975,0.1,1,0,0,1
0,0.8975,0.1725,1,0,0,1
0,0.8975,0.245,1,0,0,1
0,0.8975,0.3175,1,0,0,1
0,0.8975,0.39,1,0,0,1
0,0.8975,0.4625,1,0,0,1
0,0.8975,0.5349999999999999,1,0,0,1
0,0.8975,0.6074999999999999,1,0,0,1
0,0.8975,0.6799999999999999,1,0,0,1
0,0.8975,0.7525,1,0,0,1
0,0.8975,0.825,1,0,0,1
0,0.8975,0.8975,1,0,0,1
0,0.8975,0.9699999999999999,1,0,0,1
0,0.8975,1.0425,1,0,0,2
0,0.8975,1.115,1,0,0,2
0,0.8975,1.1875,1,0,0,2
0,0.8975,1.26,1,0,0,4
0,0.8975,1.3325,0,0,0,2
0,0.8975,1.405,0,0,0,2
0,0.8975,1.4775,0,0,0,2
0,0.8975,1.55,0,0,0,2
0,0.8975,1.6225,0,0,0,2
0,0.8975,1.695,0,0,0,2
0,0.8975,1.7675,0,0,0,2
0,0.8975,1.8399999999999999,0,0,0,2
0,0.8975,1.9124999999999999,0,0,0,2
0,0.8975,1.9849999999999999,0,0,0,2
0,0.8975,2.0574999999999997,0,0,0,2
0,0.8975,2.13,0,0,0,2
0,0.8975,2.2025,0,0,0,2
0,0.8975,2.275,0,0,0,2
0,0.8975,2.3475,0,0,0,2
0,0.8975,2.42,0,0,0,2
0,0.8975,2.4924999999999997,0,0,0,2
0,0.8975,2.565,0,0,0,2
0,0.8975,2.6374999999999997,0,0,0,2
0,0.8975,2.71,0,0,0,2
0,0.8975,2.7824999999999998,0,0,0,2
0,0.8975,2.855,0,0,0,2
0,0.8975,2.9274999999999998,0,0,0,2
0,0.8975,3.0,0,0,0,2
0,0.9699999999999999,0.1,1,0,0,1
0,0.9699999999999999,0.1725,1,0,0,1
0,0.9699999999999999,0.245,1,0,0,1
0,0.9699999999999999,0.3175,1,0,0,1
0,0.9699999999999999,0.39,1,0,0,1
0,0.9699999999999999,0.4625,1,0,0,1
0,0.9699999999999999,0.5349999999999999,1,0,0,1
0,0.9699999999999999,0.6074999999999999,1,0,0,1
0,0.9699999999999999,0.6799999999999999,1,0,0,1
0,0.9699999999999999,0.7525,1,0,0,1
0,0.9699999999999999,0.825,1,0,0,1
0,0.9699999999999999,0.8975,1,0,0,1
0,0.9699999999999999,0.9699999999999999,1,0,0,1
0,0.9699999999999999,1.0425,1,0,0,2
0,0.9699999999999999,1.115,1,0,0,2
0,0.9699999999999999,1.1875,1,0,0,2
0,0.9699999999999999,1.26,1,0,0,4
0,0.9699999999999999,1.3325,0,0,0,2
0,0.9699999999999999,1.405,0,0,0,2
0,0.9699999999999999,1.4775,0,0,0,2
0,0.9699999999999999,1.55,0,0,0,2
0,0.9699999999999999,1.6225,0,0,0,2
0,0.9699999999999999,1.695,0,0,0,2
0,0.9699999999999999,1.7675,0,0,0,2
0,0.9699999999999999,1.8399999999999999,0,0,0,2
0,0.9699999999999999,1.9124999999999999,0,0,0,2
0,0.9699999999999999,1.9849999999999999,0,0,0,2
0,0.9699999999999999,2.0574999999999997,0,0,0,2
0,0.9699999999999999,2.13,0,0,0,2
0,0.9699999999999999,2.2025,0,0,0,2
0,0.9699999999999999,2.275,0,0,0,2
0,0.9699999999999999,2.3475,0,0,0,2
0,0.9699999999999999,2.42,0,0,0,2
0,0.9699999999999999,2.4924999999999997,0,0,0,2
0,0.9699999999999999,2.565,0,0,0,2
0,0.9699999999999999,2.6374999999999997,0,0,0,2
0,0.9699999999999999,2.71,0,0,0,2
0,0.9699999999999999,2.7824999999999998,0,0,0,2
0,0.9699999999999999,2.855,0,0,0,2
0,0.9699999999999999,2.9274999999999998,0,0,0,2
0,0.9699999999999999,3.0,0,0,0,2
0,1.0425,0.1,1,0,0,1
0,1.0425,0.1725,1,0,0,1
0,1.0425,0.245,1,0,0,1
0,1.0425,0.3175,1,0,0,1
0,1.0425,0.39,1,0,0,1
0,1.0425,0.4625,1,0,0,1
0,1.0425,0.5349999999999999,1,0,0,1
0,1.0425,0.6074999999999999,1,0,0,1
0,1.0425,0.6799999999999999,1,0,0,1
0,1.0425,0.7525,1,0,0,1
0,1.0425,0.825,1,0,0,1
0,1.0425,0.8975,1,0,0,1
0,1.0425,0.9699999999999999,1,0,0,1
0,1.0425,1.0425,1,0,0,2
0,1.0425,1.115,1,0,0,2
0,1.0425,1.1875,1,0,0,2
0,1.0425,1.26,1,0,0,4
0,1.0425,1.3325,0,0,0,2
0,1.0425,1.405,0,0,0,2
0,1.0425,1.4775,0,0,0,2
0,1.0425,1.55,0,0,0,2
0,1.0425,1.6225,0,0,0,2
0,1.0425,1.695,0,0,0,2
0,1.0425,1.7675,0,0,0,2
